;;Education sector  (university, engineering school, etc.);;;;;;;;;;;;
Continuing / initial training;You are an organisation;Name of the establishment;Name of the department / training unit;Cycle de formation;The programme covers / Objective;Short description of the programme / Content;Type of organisation;Name of the organisation;Title of the course;Location of the structure (city);Does this training lead to a validation of prior learning? If so, which ones?;Duration of training / intervention (in days);Methods of access to training (face-to-face / distance / hybrid);URL describing the programme
Continuing Education;MOOC;;;;;"Sustainable developer :
- Understanding the challenges of Sustainable Digital
- Understand the environmental impact of development decisions
- Learn the best eco-Sustainable practices to implement in your daily life
- Measure the environmental footprint of your application
- Reduce the environmental impact of your code";Online courses;The green Companion;Sustainable developer;National;No;1,5;Distancial;https://thegreencompagnon.com/cours/developpeur-responsable/
Continuing Education;MOOC;;;;;"Sustainable Design :
- Understanding the challenges of Sustainable Digital Design
- Understand the environmental impact of your design & UX decisions
- Learn the best eco-Sustainable practices to implement in your daily life
- Reduce the environmental impact of your designs and user experience";Online courses;The green Companion;Sustainable developer;National;No;1,5;Distancial;https://thegreencompagnon.com/cours/ux-ui-designer-responsable/
Continuing Education;MOOC;;;;;"Sustainable Infrastructure :
- Understanding the challenges of Sustainable Digital
- Understand the environmental impact of data centres and cloud services
- Learn the best eco-Sustainable practices to implement in your daily life
- Use tools to measure the carbon footprint of data centres
- Reduce the environmental impact of your infrastructure";Online courses;The green Companion;Sustainable infrastructure;National;No;1,5;Distancial;https://thegreencompagnon.com/cours/sre-responsable/
Continuing Education;MOOC;;;;;"Digital impact and key concepts of eco-design :
- Understanding the origin of climate change
- Understand the environmental, ethical and social impact of your product
- Acquire the key concepts of Sustainable Digital Design";Online courses;The green Companion;Digital impact and key concepts of eco-design;National;No;0,5;Distancial;https://thegreencompagnon.com/cours/impact-du-numerique-et-concepts-cles-de-leco-conception/
Continuing Education;MOOC;;;;;"It is common to hear that digital is 'green', meaning that it has little or no ecological impact, or even that it reduces the ecological impact of the rest of our economy. In this course, we will challenge both of these ideas. In fact, digital technology has real and growing ecological impacts: greenhouse gas emissions, pollution, toxic waste production, etc. Moreover, its capacity to reduce the ecological impacts of the rest of our economy is questionable (rebound effect, programmed obsolescence, etc.).

Thanks to concrete examples and practical cases, this course will give you an overview of the stakes and the means available to make the digital sector more ecological. Following this course will give you the tools to be an actor of a more ecological digital world. You will be able to reduce the ecological impact of an IS, that of a website and to get involved in the eco-design of a digital service.

Do you want to deploy Green IT actions in your company? Then join me in the first chapter!";OpenClasse room;;Apply the principles of GreenIT in your company;National;No;0,5;Distancial;https://openclassrooms.com/fr/courses/6227476-appliquez-les-principes-du-green-it-dans-votre-Enterprise
Continuing Education;Private (training institution, company, etc.);;;;;"Understand the challenges of digital responsibility
Mastering the sector's regulations
Act on your ecosystem by integrating good professional practices
Implement a Sustainable Digital strategy";Training organisation;Pollen;Sustainable Digital;Toulouse;No, but learners are able to pass the certificate of knowledge at the end of the course;2;Face to face and distance learning;
Continuing Education;Private (training institution, company, etc.);;;;;"- To master the Sustainable design approach and methodology for digital services in order to deploy Sustainable Digital Design in projects
- Know how to measure the environmental performance of a website
- Know how to identify the action levers to be impl";Training organisation;Pollen;Website Ecodesign;Toulouse;Yes. A certificate of knowledge issued by the INR;2;Face-to-face and distance learning;https://www.toulouse.cci.fr/solution/eco-conception-de-site-internet
Continuing Education;Private (training institution, company, etc.);;;;;"Web accessibility
- Define a strategy for implementing digital accessibility
 - Raise awareness of the challenges of digital accessibility among different audiences (colleagues, service providers, managers, etc.)
 - Encourage the consideration of accessibility at all levels of the organisation (purchasing, design/UX, technical developments, training, etc.)
 - Develop multi-year accessibility plans and annual plans
 - Auditing a site and knowing how to evaluate certain accessibility criteria on a website
 - Integrating web quality assurance into your approach

Web quality assurance
- Knowing the web quality model and checklists 
 - Knowing the methods for evaluating websites 
 - Preventing risks and mastering web vocabulary 
 - Managing the quality and accessibility of a website";Training organisation;Pollen;Accessibility and web quality assurance;Toulouse;No;2;Face-to-face and distance learning;
Continuing Education;Private (training institution, company, etc.);;;;;"TRAINING CONTENT
DAY 01

AWARENESS: THE HIDDEN FACE OF THE DIGITAL REVOLUTION
' The impact of the Digital revolution on the environment
' Digital exclusion
' Let's be precise about the terms!
' Workshop/practice

UNDERSTANDING THE ECODESIGN OF DIGITAL SERVICES
' Why ecodesign?
' The challenges of Sustainable Digital for the company
' State of the art
' Sustainable Digital Ecosystem
' Workshop/ Practical application

A RECOGNISED MODEL: THE GREENSOFT MODEL
' The ""software value map
' Audit of the level of ecodesign of a software
' The ""Greensoft"" model
' The challenges at the workstation level
' Putting it into practice: what are the ""quick wins"" within your organisation?

DAY 02

The trainer will try to create bridges between the training and the participants' professional environments.

CASE STUDY
' Application of the Software Value Map
' Application of the Greensoft Model
' Commitments

PRACTICAL APPLICATION AT PROJECT LEVEL
The trainer presents a project to be studied. The trainer unfolds the subject so that everyone can take ownership of it and put into practice a digital eco-design approach using the tools and good practices.

CLOSING, RESTITUTION AND ASSESSMENT OF THE DAY";Training organisation;INFOGREEN FACTORY;ECODESIGN - PROJECT MANAGEMENT;National;"LEARNING OBJECTIVES
Step back from ""business as usual"" in IT projects.
Define the challenges and contexts of digital technology and why it is crucial to integrate an eco-design approach.
Acquire and put into practice in the form of workshops the basic knowledge on the subject of Sustainable Digital Design.
To rely on a methodology to deploy Sustainable Digital in projects.
Identify the existing reference systems and tools.
Understand ecodesign applied to digital services.
To be able to design software by integrating good digital eco-design practices.";2;Face-to-face and distance learning;"https://infogreenfactory.green/contact/

ou

via notre partenaire IHMISEN: https://ihmisen.com/NRE030_Ecoconception-pour-la-gestion-de-projets.php"
Continuing Education;Private (training institution, company, etc.);;;;;"TRAINING CONTENT
DAY 01

QUIZ - GETTING IN TOUCH

THE ISSUES
' The benefits and drawbacks of digital technology
' The environmental impact
' Exclusion of certain audiences
' Ethical drifts

LEVERS AND TOOLS FOR DEPLOYING A Sustainable Digital STRATEGY
' Green IT, IT for green, Sustainable Digital,...
' Political levers (current and evolving legislation)
' The importance of CSR within companies
' The tools

DEPLOYING A Sustainable Digital STRATEGY
' 8 good reasons
' Global strategy vs. NR strategy
' The essentials
' The tools

DAY 02

THE STEPS OF A Sustainable Digital STRATEGY IN BUSINESS
' Awareness raising
' Stages and benchmarks
' An NR project
' Governance of NR in companies

GOOD PRACTICES BY MAJOR TECHNICAL FIELDS
' Frame of reference
' Purchasing
' End of life management
' The workstation

PRACTICAL WORKSHOP WORKSTATION
Printing
' Telephony
' IT projects
' Datacentre
' Individual best practices

CASE STUDIES IN SMALL GROUPS

QUIZ IN PREPARATION FOR THE NR CERTIFICATION

CHALLENGES, PERSPECTIVES AND AVAILABLE RESOURCES

CLOSING, RESTITUTION AND ASSESSMENT OF THE TRAINING";Training organisation;INFOGREEN FACTORY;Sustainable Digital;National;"Define the challenges and contexts of digital and why it is crucial to integrate a Sustainable approach.
Identify the important criteria in the entire life cycle of digital equipment and services (purchase, use, end of life, design).
Discover a methodology and tools for putting Sustainable Digital practices into practice.
Validate the ""Sustainable Digital"" certification offered by the University of La Rochelle and the Institut du Numérique Responsable (INR).";2;Face-to-face and distance learning;"https://infogreenfactory.green/contact/

ou

https://ihmisen.com/NRE010_Sensibilisation-au-Numerique-Responsable.php"
Continuing Education;Private (training institution, company, etc.);;;;;"Sustainable developer :
This training is for you if you want to :
- Understand the challenges of Sustainable Digital development
- Understand the environmental impact of development decisions
- Learn the best eco-Sustainable practices to implement in your daily life
- Measure the environmental footprint of your application
- Reduce the environmental impact of your code";Company;The Green Compagnon;Sustainable developer (front & back);National;No;1;Distancial;https://thegreencompagnon.com/cours/developpeur-responsable/
Continuing Education;Private (training institution, company, etc.);;;;;"Are you a UI Designer, UX Manager or Product Manager?
This training is for you if you want to :
- Understand the challenges of Sustainable Digital Design
- Understand the environmental impact of your design & UX decisions
- Learn the best eco-Sustainable practices to implement in your daily life
- Reduce the environmental impact of your designs and user paths";Company;The Green Compagnon;Sustainable Designer;National;No;1;Distancial;https://thegreencompagnon.com/cours/ux-ui-designer-responsable/
Continuing Education;Private (training institution, company, etc.);;;;;"DAY 1 :
The objectives of the CoRSer Num benchmark
- The principle
- The challenges of the repository
The structure of CoRSer Num
- The families / project stages
- Linkage with the UN's SDGs
- The recommendations
- Criteria and categories of criteria
- The benchmark in figures
Implementation of the framework
- The methodology
Content of the GR 491 and RGESN standards
- Details of the Sustainable Digital Essentials
- Customise your list
Other standards
- Accessibility standard
- OPQUAST standard
- PIDILA standard
- General Ecodesign Framework for Digital Services
- Others (RGPD, RGS)
Closing, restitution, evaluation of knowledge and assessment of the training";Training organisation;IHMISEN;Ecodesign tools, GR 491 and ESMR;Toulouse;"This training aims to provide participants with knowledge of the
INR GR491 and the RGESN (ecodesign reference framework resulting from GR491) to put the recommendations into practice in each of the project stages.
each of the project stages.
The training will allow :
- Clarify the objectives of the standard
- Understand the structure of the elements proposed in the standard
- Identify the relationship with the UN Sustainable Development Goals
Development Goals
- Clarify the methodology for implementing the framework in an organization
organisation
- Understand the elements outlined in the Toolkit
- Link the INR framework with other available frameworks
The purpose of the ""INR Repository"" module is therefore to enable those involved in
(Product Owner, Developers, Designers, Project Managers) to
to put into practice the eco-design of digital services in a
digital services in a Sustainable Digital approach and digital sobriety.";1;Face-to-face and distance learning;https://ihmisen.com/NRE060_Referentiel-CoRSer-Num-de-l-INR.php
Continuing Education;Private (training institution, company, etc.);;;;;"This training is the starting point of your Sustainable Digital strategy and will enable you to make relevant choices in accordance with the current environmental and social issues in your context.
We will (re)discover the environmental and social impacts of digital technology, the legislation and the ecosystem. Then each area of action in companies will be discussed with the associated good practices, the existing tools and the corresponding actors. Finally, the implementation of change in companies (governance, communication, integration of employees, continuous improvement, etc.) will be studied from the specific context of the participants. These participants will also leave with a roadmap of the next actions to be carried out in order to take action at the end of the training.";Trainer;Ecologeek;Initiate a Sustainable Digital approach in my company;Rennes;Possibility to take the NRI digital certification after the training.;3;Face-to-face and distance learning;https://www.ecologeek.fr/formation
Continuing Education;Private (training institution, company, etc.);;;;;"TRAINING CONTENT
DAY 01

QUIZ - GETTING IN TOUCH

THE ISSUES
' The benefits and drawbacks of digital technology
' The environmental impact
' Exclusion of certain audiences
' Ethical drifts

LEVERS AND TOOLS FOR DEPLOYING A Sustainable Digital STRATEGY
' Green IT, IT for green, Sustainable Digital,...
' Political levers (current and evolving legislation)
' The importance of CSR within companies
' The tools

DEPLOYING A Sustainable Digital STRATEGY
' 8 good reasons
' Global strategy vs. NR strategy
' The essentials
' The tools

DAY 02

THE STEPS OF A Sustainable Digital STRATEGY IN BUSINESS
' Awareness raising
' Stages and benchmarks
' An NR project
' Governance of NR in companies

GOOD PRACTICES BY MAJOR TECHNICAL FIELDS
' Frame of reference
' Purchasing
' End of life management
' The workstation

PRACTICAL WORKSHOP WORKSTATION
Printing
' Telephony
' IT projects
' Datacentre
' Individual best practices

CASE STUDIES IN SMALL GROUPS

QUIZ IN PREPARATION FOR THE NR CERTIFICATION

CHALLENGES, PERSPECTIVES AND AVAILABLE RESOURCES

CLOSING, RESTITUTION AND ASSESSMENT OF THE TRAINING";Company trainer;;Green IT;Boulogne-Billancourt;No;1,5;Face-to-face and distance learning;http://www.valerieschneider.com
Continuing Education;Private (training institution, company, etc.);;;;;Cette formation de deux jours permet de comprendre les enjeux du numérique responsable, maîtriser les règlementations du secteur, intégrer les bonnes pratiques pour, au final, être en mesure de mettre en œuvre une stratégie numérique responsable au sein de l'Enterprise.;Training organisation;M.I.R;Moving towards a more Sustainable Digital future;Paris;Certificate of knowledge of the Institute of Digital Responsibility (optional);2;Face-to-face and distance learning;https://www.mir-cf.com/formations
Continuing Education;Private (training institution, company, etc.);;;;;"DAY 1 :
The objectives of the CoRSer Num benchmark
- The principle
- The challenges of the repository
The structure of CoRSer Num
- The families / project stages
- Linkage with the UN's SDGs
- The recommendations
- Criteria and categories of criteria
- The benchmark in figures
Implementation of the framework
- The methodology
Content of the GR 491 and RGESN standards
- Details of the Sustainable Digital Essentials
- Customise your list
Other standards
- Accessibility standard
- OPQUAST standard
- PIDILA standard
- General Ecodesign Framework for Digital Services
- Others (RGPD, RGS)
Closing, restitution, evaluation of knowledge and assessment of the training";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;Sustainable Digital Awareness;Toulouse;"Certificate of completion of training.
Digital Sustainable Certification (NR)";2;Face-to-face and distance learning;https://www.ihmisen.com/NRE010_Sensibilisation-au-Numerique-Responsable.php
Continuing Education;Private (training institution, company, etc.);;;;;"Objective of the training :
To present the challenges and contexts of digital technology and why it is crucial to integrate an eco-design approach.
To understand that the successful deployment of this approach is linked to its integration into a sustainable and global company strategy.
To make the organisation's strategy converge with the issues that Digital Responsibility must address.
Define the tools needed to take charge of sustainability in the company's strategy.
Identify the levers for deploying and steering ecodesign within organisations.
To plan a concrete implementation in companies.";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;Digital Responsibility - Ecodesign for Managers;Toulouse;Certificate of completion of the course;1;Face-to-face and distance learning;https://www.ihmisen.com/NRE020_Ecoconception-pour-les-dirigeants.php
Continuing Education;Private (training institution, company, etc.);;;;;"Objective of the training :
To take a step back from ""business as usual"" in IT projects.
Define the challenges and contexts of digital technology and why it is crucial to integrate an ecodesign approach.
Understand ecodesign applied to digital services.
Use a methodology to deploy Sustainable Digital Design in projects.
Identify existing guidelines and tools.
To acquire and put into practice in the form of workshops the basic knowledge on the subject of Sustainable Digital Design.
To be able to design software by integrating good digital eco-design practices.";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;Digital Responsibility - Ecodesign for project management;Toulouse;Certificate of completion of the course;2;Face-to-face and distance learning;https://www.ihmisen.com/NRE030_Ecoconception-pour-la-gestion-de-projets.php
Continuing Education;Private (training institution, company, etc.);;;;;"Learning objectives
Take a step back from ""business as usual"" in IT projects.
Define the challenges and contexts of digital technology and why it is crucial to integrate an eco-design approach.
Understand ecodesign applied to digital services.
Use a methodology to deploy Sustainable Digital Design in projects.
Identify existing reference systems and tools.
To acquire and put into practice in the form of workshops the basic knowledge on the subject of Sustainable Digital Design.
To be able to design software by integrating good digital eco-design practices.";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;Sustainable Digital - Ecodesign for developers;Toulouse;Certificate of completion of the course;3;Face-to-face and distance learning;https://www.ihmisen.com/NRE040_Ecoconception-pour-les-developpeurs.php
Continuing Education;Private (training institution, company, etc.);;;;;"Learning objectives
Clarify the objectives of the framework.
Understand the structure of the elements proposed in the framework.
Identify the relationship with the UN Sustainable Development Goals.
Clarify the methodology for implementing the standard in an organisation.
Understand the elements outlined in the framework.
Relate the INR framework to other available frameworks.";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;"Sustainable Digital - INR's ""Sustainable Digital Service Design"" benchmark";Toulouse;Certificate of completion of the course;1;Face-to-face and distance learning;https://www.ihmisen.com/NRE060_Referentiel-CoRSer-Num-de-l-INR.php
Continuing Education;Private (training institution, company, etc.);;;;;"Learning objectives
Take a step back from ""business as usual"" in IT projects.
Define the challenges and contexts of digital technology and why it is crucial to integrate an eco-design approach.
Understand ecodesign applied to digital services.
Use a methodology to deploy Sustainable Digital Design in projects.
Identify existing reference systems and tools.
To acquire and put into practice in the form of workshops the basic knowledge on the subject of Sustainable Digital Design.
To be able to design a product / service by integrating the best practices of digital eco-design.";Consulting firm, Coaching firm and Qualiopi certified training organisation;Ihmisen Academy;Digital Responsibility - Ecodesign for Professionals;Toulouse;Certificate of completion of the course;2;Face-to-face and distance learning;https://www.ihmisen.com/NRE070_Ecoconception-pour-les-Fonctionnels.php
